k,ma_filter,ma_exit,avg_sharpe,med_sharpe,min_sharpe,avg_cagr,avg_mdd,ew_sharpe,ew_mdd
0.6000,20,10,0.7245,0.7288,0.5320,0.6508,-0.5518,1.6115,-0.3655
0.4000,10,10,0.6866,0.6963,0.4747,0.6359,-0.5838,1.6097,-0.3982
0.5000,10,3,0.7090,0.6979,0.2964,0.4720,-0.6488,1.5997,-0.3954
0.5000,10,10,0.6725,0.7175,0.4707,0.6042,-0.5843,1.5995,-0.4194
0.5000,80,3,0.7521,0.7444,0.4575,0.5590,-0.7094,1.5925,-0.5454
0.5000,80,10,0.6814,0.7046,0.4785,0.7651,-0.6231,1.5922,-0.4413
0.4000,30,10,0.6985,0.6709,0.5349,0.5650,-0.5799,1.5902,-0.4023
0.4000,20,5,0.7257,0.7049,0.4591,0.4898,-0.6622,1.5869,-0.4285
0.5000,20,10,0.7065,0.7044,0.5396,0.6338,-0.5709,1.5755,-0.3732
0.5000,20,3,0.7423,0.7541,0.3704,0.4869,-0.6410,1.5751,-0.4160
0.4000,80,10,0.6857,0.6551,0.5398,0.6983,-0.6691,1.5657,-0.4911
0.3000,70,3,0.7648,0.7317,0.4754,0.5136,-0.6918,1.5499,-0.4935
0.3000,30,10,0.6669,0.6939,0.5371,0.5329,-0.6250,1.5494,-0.4738
0.3000,10,3,0.6861,0.6160,0.4324,0.4416,-0.6759,1.5489,-0.4193
0.3000,80,10,0.6765,0.7095,0.5452,0.6889,-0.6758,1.5471,-0.4921
0.4000,10,3,0.6854,0.6650,0.3150,0.4522,-0.6555,1.5428,-0.4152
0.3000,20,5,0.6879,0.6611,0.3813,0.4657,-0.6801,1.5337,-0.4207
0.4000,70,3,0.7490,0.7226,0.4003,0.5047,-0.7039,1.5174,-0.5325
0.4000,20,10,0.6797,0.7094,0.4884,0.5305,-0.6173,1.5115,-0.4518
0.3000,80,3,0.7223,0.6410,0.4553,0.4626,-0.7564,1.4870,-0.5741
0.3000,20,10,0.6446,0.6847,0.4854,0.4931,-0.6605,1.4758,-0.4640
0.4000,80,3,0.7088,0.6712,0.4955,0.4625,-0.7631,1.4735,-0.6022
0.4000,30,3,0.6850,0.7094,0.3497,0.3785,-0.6510,1.4550,-0.4076
0.4000,20,3,0.6682,0.6876,0.3834,0.3865,-0.6889,1.4381,-0.4868
0.3000,30,3,0.6639,0.6310,0.4120,0.3411,-0.6564,1.4161,-0.4946
0.3000,20,3,0.6386,0.6269,0.3174,0.3438,-0.7159,1.3899,-0.5019
