atr,high_lb,top_n,rebal,vol_w,dir,vol_tgt,Sharpe,CAGR,MDD,Calmar,Trades
14,80,3,14,0.7000,long,0.2500,1.1450,0.3827,-0.4188,0.9138,6511
10,30,3,14,0.3000,long,0.2500,1.1446,0.3388,-0.4717,0.7183,6756
20,80,1,14,0.3000,long,0.0000,1.1437,0.8433,-0.7230,1.1663,141
14,50,3,3,0.5000,long,0.2500,1.1433,0.3562,-0.4306,0.8273,6863
20,80,3,14,0.7000,long,0.2500,1.1412,0.3771,-0.4146,0.9095,6503
20,80,1,14,0.5000,long,0.2500,1.1411,0.3511,-0.4230,0.8300,2196
20,30,2,3,0.3000,long,0.0000,1.1391,0.7429,-0.7807,0.9515,864
14,50,1,7,0.3000,long,0.0000,1.1388,0.8351,-0.8348,1.0003,273
10,30,3,7,0.5000,long,0.0000,1.1387,0.7417,-0.7445,0.9962,453
20,50,3,3,0.5000,long,0.2500,1.1367,0.3355,-0.4361,0.7692,6877
14,30,2,14,0.7000,long,0.2500,1.1362,0.3379,-0.4311,0.7838,4475
14,80,2,7,0.7000,long,0.2500,1.1320,0.3362,-0.4734,0.7101,4416
20,80,2,3,0.5000,long,0.2500,1.1306,0.3386,-0.4453,0.7604,4521
14,80,3,3,0.7000,long,0.0000,1.1300,0.6823,-0.6864,0.9939,475
20,30,2,3,0.5000,long,0.0000,1.1292,0.7032,-0.7061,0.9958,610
10,80,2,7,0.5000,long,0.2500,1.1291,0.3309,-0.4764,0.6945,4440
14,30,1,14,0.7000,long,0.0000,1.1291,0.6958,-0.7406,0.9396,131
10,30,2,3,0.3000,long,0.0000,1.1275,0.7309,-0.8107,0.9016,866
20,80,1,3,0.7000,long,0.0000,1.1266,0.6747,-0.7761,0.8694,291
10,80,2,7,0.3000,long,0.2500,1.1247,0.3338,-0.4991,0.6687,4463
10,30,3,14,0.3000,long,0.0000,1.1245,0.7335,-0.7701,0.9525,339
20,50,1,14,0.3000,long,0.0000,1.1230,0.8394,-0.7213,1.1638,157
10,80,3,14,0.5000,long,0.2500,1.1225,0.3730,-0.4178,0.8929,6517
20,50,2,7,0.3000,long,0.2500,1.1223,0.3381,-0.5234,0.6461,4556
14,80,1,14,0.3000,long,0.2500,1.1203,0.3468,-0.4438,0.7815,2212
20,80,2,14,0.5000,long,0.2500,1.1191,0.3425,-0.4587,0.7467,4357
10,80,3,14,0.7000,long,0.2500,1.1175,0.3972,-0.4462,0.8904,6520
14,30,2,3,0.5000,long,0.0000,1.1169,0.6830,-0.7150,0.9552,632
20,50,2,14,0.3000,long,0.0000,1.1152,0.7512,-0.7810,0.9619,248
20,80,2,7,0.7000,long,0.0000,1.1146,0.6756,-0.6989,0.9666,228
20,50,1,14,0.7000,long,0.0000,1.1134,0.7553,-0.7165,1.0541,105
20,30,3,7,0.5000,long,0.0000,1.1134,0.7093,-0.6960,1.0190,429
10,50,3,7,0.3000,long,0.2500,1.1123,0.3320,-0.5000,0.6640,6777
20,30,3,7,0.3000,long,0.2500,1.1121,0.3252,-0.3983,0.8164,6882
10,50,3,14,0.3000,long,0.0000,1.1116,0.7145,-0.7726,0.9249,309
10,80,2,3,0.5000,long,0.0000,1.1104,0.6363,-0.7981,0.7974,482
14,30,1,14,0.5000,long,0.2500,1.1095,0.3316,-0.4263,0.7780,2265
14,50,2,3,0.5000,long,0.0000,1.1083,0.6685,-0.7403,0.9031,562
20,30,2,3,0.3000,long,0.2500,1.1081,0.3229,-0.4205,0.7679,4831
10,80,1,7,0.5000,long,0.2500,1.1077,0.3359,-0.4163,0.8070,2241
20,30,2,3,0.7000,long,0.0000,1.1068,0.6578,-0.6923,0.9502,394
10,30,2,7,0.5000,long,0.2500,1.1063,0.3252,-0.4268,0.7620,4567
10,80,1,7,0.7000,long,0.0000,1.1060,0.6321,-0.7318,0.8637,201
20,50,3,7,0.3000,long,0.2500,1.1042,0.3299,-0.4705,0.7011,6780
10,50,2,7,0.3000,long,0.2500,1.1034,0.3318,-0.4837,0.6859,4554
10,80,1,7,0.5000,long,0.0000,1.1025,0.6504,-0.7619,0.8536,189
14,50,2,14,0.7000,long,0.0000,1.1024,0.6741,-0.7472,0.9022,170
10,30,2,14,0.3000,long,0.2500,1.1018,0.3286,-0.4422,0.7430,4528
10,80,2,14,0.5000,long,0.0000,1.1005,0.6488,-0.7450,0.8709,154
14,30,2,7,0.5000,long,0.2500,1.1000,0.3251,-0.4394,0.7398,4559
20,80,1,7,0.5000,long,0.0000,1.0969,0.7190,-0.7320,0.9823,185
10,80,2,7,0.5000,long,0.0000,1.0967,0.6406,-0.7764,0.8251,294
20,30,1,14,0.7000,long,0.0000,1.0964,0.7328,-0.7165,1.0226,107
14,80,2,14,0.7000,long,0.2500,1.0961,0.3662,-0.4786,0.7651,4353
10,80,3,14,0.7000,long,0.0000,1.0957,0.8781,-0.7247,1.2118,203
10,30,2,14,0.3000,long,0.0000,1.0956,0.7316,-0.7178,1.0192,274
10,30,2,3,0.5000,long,0.2500,1.0952,0.3148,-0.4315,0.7297,4736
14,30,2,3,0.3000,long,0.0000,1.0946,0.6870,-0.7640,0.8991,862
20,30,2,14,0.7000,long,0.2500,1.0945,0.3213,-0.3659,0.8783,4478
14,50,3,7,0.5000,long,0.0000,1.0942,0.6774,-0.7543,0.8980,361
14,30,2,14,0.5000,long,0.0000,1.0905,0.6824,-0.6457,1.0569,210
20,80,1,3,0.3000,long,0.2500,1.0902,0.3267,-0.4615,0.7078,2370
20,50,1,7,0.7000,long,0.0000,1.0879,0.6549,-0.7768,0.8431,175
10,50,1,14,0.5000,long,0.0000,1.0870,0.6466,-0.7576,0.8535,121
14,30,2,7,0.5000,long,0.0000,1.0869,0.6649,-0.7093,0.9373,336
10,50,3,7,0.5000,long,0.2500,1.0860,0.3206,-0.4770,0.6722,6719
14,80,1,14,0.7000,long,0.0000,1.0858,0.6255,-0.7440,0.8408,133
14,30,3,7,0.5000,long,0.0000,1.0854,0.6679,-0.7421,0.9001,439
20,80,1,3,0.5000,long,0.2500,1.0845,0.3216,-0.4507,0.7137,2320
14,80,2,3,0.7000,long,0.0000,1.0818,0.5970,-0.7523,0.7936,368
14,30,1,14,0.7000,long,0.2500,1.0799,0.3170,-0.4200,0.7548,2261
14,30,1,14,0.5000,long,0.0000,1.0794,0.7110,-0.7295,0.9746,139
10,50,2,3,0.3000,long,0.0000,1.0792,0.6597,-0.7966,0.8282,734
14,30,3,14,0.3000,long,0.0000,1.0791,0.6725,-0.7780,0.8644,349
10,50,1,7,0.3000,long,0.0000,1.0787,0.7700,-0.8434,0.9129,265
20,50,2,3,0.3000,long,0.2500,1.0787,0.3185,-0.4959,0.6421,4708
10,80,1,14,0.3000,long,0.2500,1.0783,0.3503,-0.4851,0.7221,2215
20,80,2,14,0.5000,long,0.0000,1.0783,0.6517,-0.7416,0.8788,156
20,30,2,7,0.3000,long,0.0000,1.0756,0.7029,-0.7125,0.9864,490
20,30,2,7,0.3000,long,0.2500,1.0751,0.3186,-0.4403,0.7235,4636
