atr,vol_lb,metric,top_n,rebal,dir,vol_tgt,Sharpe,CAGR,MDD,Calmar,Trades
20,20,natr,2,7,long,0.0000,1.0048,0.5429,-0.7202,0.7538,188
14,20,realized,3,7,long,0.2500,1.0037,0.3134,-0.4169,0.7518,6789
10,20,realized,3,7,long,0.2500,1.0037,0.3134,-0.4169,0.7518,6789
20,20,realized,3,7,long,0.2500,1.0037,0.3134,-0.4169,0.7518,6789
14,40,natr,2,3,long,0.2500,1.0001,0.2801,-0.4422,0.6336,4581
14,20,natr,2,3,long,0.2500,1.0001,0.2801,-0.4422,0.6336,4581
14,10,natr,2,3,long,0.2500,1.0001,0.2801,-0.4422,0.6336,4581
20,40,realized,2,14,long,0.0000,0.9985,0.5639,-0.7075,0.7970,116
10,40,realized,2,14,long,0.0000,0.9985,0.5639,-0.7075,0.7970,116
14,40,realized,2,14,long,0.0000,0.9985,0.5639,-0.7075,0.7970,116
14,10,natr,2,7,long,0.2500,0.9983,0.2805,-0.4749,0.5906,4544
14,20,natr,2,7,long,0.2500,0.9983,0.2805,-0.4749,0.5906,4544
14,40,natr,2,7,long,0.2500,0.9983,0.2805,-0.4749,0.5906,4544
10,20,natr,3,14,long,0.0000,0.9971,0.7224,-0.7210,1.0019,243
10,40,natr,3,14,long,0.0000,0.9971,0.7224,-0.7210,1.0019,243
10,10,natr,3,14,long,0.0000,0.9971,0.7224,-0.7210,1.0019,243
10,20,realized,2,3,long,0.2500,0.9943,0.2994,-0.4240,0.7062,4606
14,20,realized,2,3,long,0.2500,0.9943,0.2994,-0.4240,0.7062,4606
20,20,realized,2,3,long,0.2500,0.9943,0.2994,-0.4240,0.7062,4606
14,20,realized,2,3,long,0.0000,0.9939,0.5476,-0.7194,0.7612,378
20,20,realized,2,3,long,0.0000,0.9939,0.5476,-0.7194,0.7612,378
10,20,realized,2,3,long,0.0000,0.9939,0.5476,-0.7194,0.7612,378
20,10,realized,2,14,long,0.0000,0.9907,0.9195,-0.7281,1.2629,296
10,10,realized,2,14,long,0.0000,0.9907,0.9195,-0.7281,1.2629,296
14,10,realized,2,14,long,0.0000,0.9907,0.9195,-0.7281,1.2629,296
20,40,natr,1,7,long,0.1500,0.9827,0.1768,-0.2922,0.6051,2270
20,10,natr,1,7,long,0.1500,0.9827,0.1768,-0.2922,0.6051,2270
20,20,natr,1,7,long,0.1500,0.9827,0.1768,-0.2922,0.6051,2270
14,20,natr,2,7,long,0.1500,0.9803,0.1695,-0.3123,0.5426,4548
14,40,natr,2,7,long,0.1500,0.9803,0.1695,-0.3123,0.5426,4548
14,10,natr,2,7,long,0.1500,0.9803,0.1695,-0.3123,0.5426,4548
10,10,natr,2,14,long,0.0000,0.9800,0.8954,-0.7687,1.1648,188
10,20,natr,2,14,long,0.0000,0.9800,0.8954,-0.7687,1.1648,188
10,40,natr,2,14,long,0.0000,0.9800,0.8954,-0.7687,1.1648,188
