mom_lb,vol_s,vol_l,top_n,rebal,mom_w,dir,vol_tgt,Sharpe,CAGR,MDD,Calmar,Trades
5,3,40,2,7,0.7000,long,0.2500,1.2800,0.4484,-0.3369,1.3312,3610
20,5,20,3,7,0.7000,long,0.2500,1.2799,0.4996,-0.3884,1.2864,5004
10,5,40,3,7,0.5000,long,0.0000,1.2798,1.0588,-0.7491,1.4136,854
5,10,40,1,7,0.7000,long,0.2500,1.2798,0.4756,-0.3127,1.5206,1954
5,5,40,2,7,0.5000,long,0.2500,1.2797,0.4554,-0.3379,1.3476,3601
20,5,40,2,7,0.3000,long,0.2500,1.2797,0.5013,-0.3702,1.3541,3562
10,3,20,1,3,0.7000,long,0.0000,1.2796,1.4451,-0.8364,1.7278,614
20,3,40,3,14,0.7000,long,0.0000,1.2794,1.0008,-0.8073,1.2398,443
5,3,40,2,7,0.5000,long,0.2500,1.2778,0.4480,-0.3642,1.2300,3608
5,10,40,2,3,0.5000,long,0.2500,1.2768,0.4502,-0.3595,1.2522,4017
5,5,20,3,7,0.7000,long,0.2500,1.2767,0.4430,-0.3397,1.3040,5101
20,3,40,3,14,0.5000,long,0.0000,1.2765,1.0061,-0.7731,1.3014,458
5,3,40,3,14,0.5000,long,0.0000,1.2762,0.9787,-0.7555,1.2955,488
5,3,40,3,7,0.5000,long,0.2500,1.2760,0.4441,-0.3345,1.3276,5084
5,10,40,3,3,0.7000,long,0.0000,1.2758,1.0130,-0.8115,1.2483,1846
20,5,20,3,3,0.5000,long,0.0000,1.2755,1.0091,-0.8719,1.1574,1220
20,3,40,3,3,0.3000,long,0.0000,1.2752,1.0127,-0.8987,1.1268,1352
5,3,40,1,3,0.3000,long,0.2500,1.2752,0.4788,-0.2745,1.7441,2210
10,5,40,1,3,0.5000,long,0.0000,1.2749,1.4314,-0.8398,1.7046,604
10,5,20,3,3,0.3000,long,0.0000,1.2746,1.0218,-0.8140,1.2553,1503
10,3,40,2,3,0.7000,long,0.0000,1.2739,1.1294,-0.7842,1.4402,1055
5,3,40,2,3,0.7000,long,0.0000,1.2739,1.1068,-0.8413,1.3155,1431
5,5,40,1,3,0.5000,long,0.2500,1.2719,0.4911,-0.3669,1.3387,2193
20,3,20,2,7,0.3000,long,0.2500,1.2719,0.4993,-0.3986,1.2527,3606
5,3,20,1,3,0.5000,long,0.2500,1.2716,0.4712,-0.3730,1.2631,2219
20,3,20,3,3,0.7000,long,0.0000,1.2709,1.0178,-0.8988,1.1325,1155
20,3,20,3,14,0.5000,long,0.0000,1.2703,0.9684,-0.8087,1.1975,480
20,5,20,2,14,0.3000,long,0.0000,1.2694,1.0361,-0.8186,1.2656,391
5,3,40,1,3,0.3000,long,0.0000,1.2692,1.3607,-0.7995,1.7019,814
20,3,20,2,7,0.5000,long,0.0000,1.2692,1.0611,-0.7743,1.3704,586
