k,ma_filter,ma_exit,avg_sharpe,avg_cagr,avg_mdd,ew_sharpe,ew_mdd
0.3000,60,10,1.1162,0.8463,-0.3958,1.4088,-0.3618
0.6000,70,10,1.1106,0.7914,-0.3139,1.4058,-0.2656
0.7000,70,10,1.1103,0.7725,-0.3225,1.4032,-0.2776
0.3000,50,10,1.0754,0.8723,-0.4850,1.3813,-0.4536
0.5000,70,10,1.0927,0.7813,-0.3121,1.3801,-0.2792
0.3000,70,10,1.0947,0.8014,-0.4368,1.3762,-0.4025
0.4000,80,10,1.0877,0.7729,-0.3246,1.3678,-0.2945
0.7000,80,10,1.0845,0.7186,-0.2564,1.3581,-0.2467
0.8000,80,10,1.0734,0.6898,-0.2603,1.3495,-0.2252
0.6000,80,10,1.0727,0.7220,-0.2978,1.3457,-0.2246
0.3000,80,10,1.0719,0.7551,-0.4170,1.3424,-0.3839
0.5000,80,10,1.0677,0.7311,-0.2883,1.3387,-0.2469
